x_gk25,y_gk25,vuosi,autot
25490715,6682058,2015,370.17857142857144
25490715,6682058,2016,357.32142857142856
25490715,6682058,2017,356.2261904761905
25490715,6682058,2018,358.8452380952381
25490715,6682058,2019,341.4404761904762
25490715,6682058,2020,320.8809523809524
25490715,6682058,2021,310.0595238095238
25490715,6682058,2022,296.54761904761904
25491021,6679686,2015,1029.0357142857142
25491021,6679686,2016,736.9880952380952
25491021,6679686,2017,1071.392857142857
25491021,6679686,2018,1114.5238095238096
25491021,6679686,2019,1108.1904761904761
25491021,6679686,2020,988.2738095238095
25491021,6679686,2021,1091.0833333333333
25491021,6679686,2022,1109.0
25491325,6674234,2015,193.29761904761904
25491325,6674234,2016,188.4404761904762
25491325,6674234,2017,183.83333333333334
25491325,6674234,2018,178.1904761904762
25491325,6674234,2019,156.02380952380952
25491325,6674234,2020,137.8452380952381
25491325,6674234,2021,140.71428571428572
25491325,6674234,2022,143.22619047619048
25491345,6672537,2015,878.3690476190476
25491345,6672537,2016,875.6071428571429
25491345,6672537,2017,895.452380952381
25491345,6672537,2018,841.0714285714286
25491345,6672537,2019,819.5
25491345,6672537,2020,731.8333333333334
25491345,6672537,2021,765.8928571428571
25491345,6672537,2022,761.1666666666666
25491395,6672524,2015,878.3690476190476
25491395,6672524,2016,875.6071428571429
25491395,6672524,2017,895.452380952381
25491395,6672524,2018,841.0714285714286
25491395,6672524,2019,819.5
25491395,6672524,2020,731.8333333333334
25491395,6672524,2021,765.8928571428571
25491395,6672524,2022,761.1666666666666
25491499,6676962,2015,441.9166666666667
25491499,6676962,2016,478.9642857142857
25491499,6676962,2017,457.92857142857144
25491499,6676962,2018,437.20238095238096
25491499,6676962,2019,445.92857142857144
25491499,6676962,2020,385.1190476190476
25491499,6676962,2021,382.89285714285717
25491499,6676962,2022,375.6666666666667
25491594,6679078,2015,141.11904761904762
25491594,6679078,2016,165.96428571428572
25491594,6679078,2017,140.32142857142858
25491594,6679078,2018,142.35714285714286
25491594,6679078,2019,156.51190476190476
25491594,6679078,2020,136.9047619047619
